DEBUG 2018-04-16 09:38:10,642 C:\Python27\lib\site-packages\django\db\backends\utils.py utils.py utils execute 90: (0.001) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None
DEBUG 2018-04-16 09:41:13,367 C:\Python27\lib\site-packages\django\db\backends\utils.py utils.py utils execute 90: (0.000) SELECT "VersionIterration_development"."id", "VersionIterration_development"."login_username", "VersionIterration_development"."operate_username", "VersionIterration_development"."inform_nextman", "VersionIterration_development"."operate_time", "VersionIterration_development"."newversionid" FROM "VersionIterration_development" WHERE "VersionIterration_development"."newversionid" = '1' LIMIT 1; args=(u'1',)
DEBUG 2018-04-16 09:41:13,375 C:\Python27\lib\site-packages\django\db\backends\utils.py utils.py utils execute 90: (0.001) SELECT "VersionIterration_api"."id", "VersionIterration_api"."project_name", "VersionIterration_api"."api_name", "VersionIterration_api"."api_introduce" FROM "VersionIterration_api" INNER JOIN "VersionIterration_development_update_version_newapi" ON ("VersionIterration_api"."id" = "VersionIterration_development_update_version_newapi"."api_id") WHERE "VersionIterration_development_update_version_newapi"."development_id" = 4; args=(4,)
DEBUG 2018-04-16 09:41:13,378 C:\Python27\lib\site-packages\django\db\backends\utils.py utils.py utils execute 90: (0.000) SELECT "VersionIterration_testcontent"."id", "VersionIterration_testcontent"."project_name", "VersionIterration_testcontent"."content", "VersionIterration_testcontent"."status" FROM "VersionIterration_testcontent" INNER JOIN "VersionIterration_test_test_content" ON ("VersionIterration_testcontent"."id" = "VersionIterration_test_test_content"."testcontent_id") WHERE "VersionIterration_test_test_content"."test_id" = 1; args=(1,)
DEBUG 2018-04-16 09:41:13,381 C:\Python27\lib\site-packages\django\db\backends\utils.py utils.py utils execute 90: (0.001) SELECT COUNT(*) AS "__count" FROM "VersionIterration_operateman" WHERE "VersionIterration_operateman"."type" = '2'; args=(u'2',)
DEBUG 2018-04-16 09:41:13,381 C:\Python27\lib\site-packages\django\db\backends\utils.py utils.py utils execute 90: (0.001) SELECT "VersionIterration_operateman"."id", "VersionIterration_operateman"."name", "VersionIterration_operateman"."email", "VersionIterration_operateman"."type" FROM "VersionIterration_operateman" WHERE "VersionIterration_operateman"."type" = '2'; args=(u'2',)
DEBUG 2018-04-16 09:41:13,382 C:\Python27\lib\site-packages\django\db\backends\utils.py utils.py utils execute 90: (0.001) SELECT COUNT(*) AS "__count" FROM "VersionIterration_operateman" WHERE "VersionIterration_operateman"."type" = '3'; args=(u'3',)
DEBUG 2018-04-16 09:41:13,382 C:\Python27\lib\site-packages\django\db\backends\utils.py utils.py utils execute 90: (0.000) SELECT "VersionIterration_operateman"."id", "VersionIterration_operateman"."name", "VersionIterration_operateman"."email", "VersionIterration_operateman"."type" FROM "VersionIterration_operateman" WHERE "VersionIterration_operateman"."type" = '3'; args=(u'3',)
DEBUG 2018-04-16 09:41:13,384 C:\Python27\lib\site-packages\django\db\backends\utils.py utils.py utils execute 90: (0.000) SELECT COUNT(*) AS "__count" FROM "VersionIterration_operateman" WHERE "VersionIterration_operateman"."type" = '3'; args=(u'3',)
DEBUG 2018-04-16 09:41:13,384 C:\Python27\lib\site-packages\django\db\backends\utils.py utils.py utils execute 90: (0.000) SELECT "VersionIterration_operateman"."id", "VersionIterration_operateman"."name", "VersionIterration_operateman"."email", "VersionIterration_operateman"."type" FROM "VersionIterration_operateman" WHERE "VersionIterration_operateman"."type" = '3'; args=(u'3',)
DEBUG 2018-04-16 09:41:13,385 C:\Python27\lib\site-packages\django\db\backends\utils.py utils.py utils execute 90: (0.001) SELECT COUNT(*) AS "__count" FROM "VersionIterration_operateman" WHERE "VersionIterration_operateman"."type" = '4'; args=(u'4',)
DEBUG 2018-04-16 09:41:13,385 C:\Python27\lib\site-packages\django\db\backends\utils.py utils.py utils execute 90: (0.000) SELECT "VersionIterration_operateman"."id", "VersionIterration_operateman"."name", "VersionIterration_operateman"."email", "VersionIterration_operateman"."type" FROM "VersionIterration_operateman" WHERE "VersionIterration_operateman"."type" = '4'; args=(u'4',)
INFO 2018-04-16 09:41:13,388 C:\Python27\lib\site-packages\django\core\servers\basehttp.py basehttp.py basehttp log_message 124: "GET /version/unfinished/1/ HTTP/1.1" 200 24886
DEBUG 2018-04-16 09:41:14,053 C:\Python27\lib\site-packages\django\db\backends\utils.py utils.py utils execute 90: (0.002) SELECT "VersionIterration_newversion"."id", "VersionIterration_newversion"."login_username", "VersionIterration_newversion"."start_username", "VersionIterration_newversion"."project_name", "VersionIterration_newversion"."project_version", "VersionIterration_newversion"."update_content", "VersionIterration_newversion"."operate_time", "VersionIterration_newversion"."inform_nextman", "VersionIterration_newversion"."status" FROM "VersionIterration_newversion"; args=()
INFO 2018-04-16 09:41:14,055 C:\Python27\lib\site-packages\django\core\servers\basehttp.py basehttp.py basehttp log_message 124: "GET /version/unfinished/ HTTP/1.1" 200 6578
DEBUG 2018-04-16 09:41:47,519 C:\Python27\lib\site-packages\django\db\backends\utils.py utils.py utils execute 90: (0.003) SELECT "VersionIterration_newversion"."id", "VersionIterration_newversion"."login_username", "VersionIterration_newversion"."start_username", "VersionIterration_newversion"."project_name", "VersionIterration_newversion"."project_version", "VersionIterration_newversion"."update_content", "VersionIterration_newversion"."operate_time", "VersionIterration_newversion"."inform_nextman", "VersionIterration_newversion"."status" FROM "VersionIterration_newversion" WHERE "VersionIterration_newversion"."id" = 1 LIMIT 1; args=(1,)
DEBUG 2018-04-16 09:41:47,522 C:\Python27\lib\site-packages\django\db\backends\utils.py utils.py utils execute 90: (0.001) SELECT (1) AS "a" FROM "VersionIterration_development" WHERE "VersionIterration_development"."newversionid" = '1' LIMIT 1; args=(u'1',)
DEBUG 2018-04-16 09:41:47,525 C:\Python27\lib\site-packages\django\db\backends\utils.py utils.py utils execute 90: (0.000) SELECT (1) AS "a" FROM "VersionIterration_test" WHERE "VersionIterration_test"."newversionid" = '1' LIMIT 1; args=(u'1',)
DEBUG 2018-04-16 09:41:47,526 C:\Python27\lib\site-packages\django\db\backends\utils.py utils.py utils execute 90: (0.000) SELECT (1) AS "a" FROM "VersionIterration_updateversion" WHERE "VersionIterration_updateversion"."newversionid" = '1' LIMIT 1; args=(u'1',)
DEBUG 2018-04-16 09:41:47,528 C:\Python27\lib\site-packages\django\db\backends\utils.py utils.py utils execute 90: (0.000) SELECT "VersionIterration_test"."id", "VersionIterration_test"."operate_username", "VersionIterration_test"."operate_time", "VersionIterration_test"."inform_nextman", "VersionIterration_test"."newversionid" FROM "VersionIterration_test" WHERE "VersionIterration_test"."newversionid" = '1' LIMIT 1; args=(u'1',)
DEBUG 2018-04-16 09:41:47,529 C:\Python27\lib\site-packages\django\db\backends\utils.py utils.py utils execute 90: (0.001) SELECT "VersionIterration_development"."id", "VersionIterration_development"."login_username", "VersionIterration_development"."operate_username", "VersionIterration_development"."inform_nextman", "VersionIterration_development"."operate_time", "VersionIterration_development"."newversionid" FROM "VersionIterration_development" WHERE "VersionIterration_development"."newversionid" = '1' LIMIT 1; args=(u'1',)
DEBUG 2018-04-16 09:41:47,536 C:\Python27\lib\site-packages\django\db\backends\utils.py utils.py utils execute 90: (0.001) SELECT "VersionIterration_api"."id", "VersionIterration_api"."project_name", "VersionIterration_api"."api_name", "VersionIterration_api"."api_introduce" FROM "VersionIterration_api" INNER JOIN "VersionIterration_development_update_version_newapi" ON ("VersionIterration_api"."id" = "VersionIterration_development_update_version_newapi"."api_id") WHERE "VersionIterration_development_update_version_newapi"."development_id" = 4; args=(4,)
DEBUG 2018-04-16 09:41:47,539 C:\Python27\lib\site-packages\django\db\backends\utils.py utils.py utils execute 90: (0.001) SELECT "VersionIterration_testcontent"."id", "VersionIterration_testcontent"."project_name", "VersionIterration_testcontent"."content", "VersionIterration_testcontent"."status" FROM "VersionIterration_testcontent" INNER JOIN "VersionIterration_test_test_content" ON ("VersionIterration_testcontent"."id" = "VersionIterration_test_test_content"."testcontent_id") WHERE "VersionIterration_test_test_content"."test_id" = 1; args=(1,)
DEBUG 2018-04-16 09:41:47,542 C:\Python27\lib\site-packages\django\db\backends\utils.py utils.py utils execute 90: (0.001) SELECT COUNT(*) AS "__count" FROM "VersionIterration_operateman" WHERE "VersionIterration_operateman"."type" = '2'; args=(u'2',)
DEBUG 2018-04-16 09:41:47,545 C:\Python27\lib\site-packages\django\db\backends\utils.py utils.py utils execute 90: (0.001) SELECT "VersionIterration_operateman"."id", "VersionIterration_operateman"."name", "VersionIterration_operateman"."email", "VersionIterration_operateman"."type" FROM "VersionIterration_operateman" WHERE "VersionIterration_operateman"."type" = '2'; args=(u'2',)
DEBUG 2018-04-16 09:41:47,546 C:\Python27\lib\site-packages\django\db\backends\utils.py utils.py utils execute 90: (0.000) SELECT COUNT(*) AS "__count" FROM "VersionIterration_operateman" WHERE "VersionIterration_operateman"."type" = '3'; args=(u'3',)
DEBUG 2018-04-16 09:41:47,546 C:\Python27\lib\site-packages\django\db\backends\utils.py utils.py utils execute 90: (0.001) SELECT "VersionIterration_operateman"."id", "VersionIterration_operateman"."name", "VersionIterration_operateman"."email", "VersionIterration_operateman"."type" FROM "VersionIterration_operateman" WHERE "VersionIterration_operateman"."type" = '3'; args=(u'3',)
DEBUG 2018-04-16 09:41:47,549 C:\Python27\lib\site-packages\django\db\backends\utils.py utils.py utils execute 90: (0.001) SELECT COUNT(*) AS "__count" FROM "VersionIterration_operateman" WHERE "VersionIterration_operateman"."type" = '3'; args=(u'3',)
DEBUG 2018-04-16 09:41:47,549 C:\Python27\lib\site-packages\django\db\backends\utils.py utils.py utils execute 90: (0.001) SELECT "VersionIterration_operateman"."id", "VersionIterration_operateman"."name", "VersionIterration_operateman"."email", "VersionIterration_operateman"."type" FROM "VersionIterration_operateman" WHERE "VersionIterration_operateman"."type" = '3'; args=(u'3',)
DEBUG 2018-04-16 09:41:47,551 C:\Python27\lib\site-packages\django\db\backends\utils.py utils.py utils execute 90: (0.000) SELECT COUNT(*) AS "__count" FROM "VersionIterration_operateman" WHERE "VersionIterration_operateman"."type" = '4'; args=(u'4',)
DEBUG 2018-04-16 09:41:47,552 C:\Python27\lib\site-packages\django\db\backends\utils.py utils.py utils execute 90: (0.001) SELECT "VersionIterration_operateman"."id", "VersionIterration_operateman"."name", "VersionIterration_operateman"."email", "VersionIterration_operateman"."type" FROM "VersionIterration_operateman" WHERE "VersionIterration_operateman"."type" = '4'; args=(u'4',)
INFO 2018-04-16 09:41:47,553 C:\Python27\lib\site-packages\django\core\servers\basehttp.py basehttp.py basehttp log_message 124: "GET /version/unfinished/1/ HTTP/1.1" 200 24886
DEBUG 2018-04-16 09:41:54,427 C:\Python27\lib\site-packages\django\db\backends\utils.py utils.py utils execute 90: (0.002) SELECT "VersionIterration_newversion"."id", "VersionIterration_newversion"."login_username", "VersionIterration_newversion"."start_username", "VersionIterration_newversion"."project_name", "VersionIterration_newversion"."project_version", "VersionIterration_newversion"."update_content", "VersionIterration_newversion"."operate_time", "VersionIterration_newversion"."inform_nextman", "VersionIterration_newversion"."status" FROM "VersionIterration_newversion" WHERE "VersionIterration_newversion"."id" = 1 LIMIT 1; args=(1,)
DEBUG 2018-04-16 09:41:54,430 C:\Python27\lib\site-packages\django\db\backends\utils.py utils.py utils execute 90: (0.001) SELECT "hostinfo_services"."id", "hostinfo_services"."tomcat_name", "hostinfo_services"."service_name" FROM "hostinfo_services" WHERE "hostinfo_services"."service_name" = '支付系统' LIMIT 1; args=(u'\u652f\u4ed8\u7cfb\u7edf',)
DEBUG 2018-04-16 09:41:54,434 C:\Python27\lib\site-packages\django\db\backends\utils.py utils.py utils execute 90: (0.001) SELECT "hostinfo_hostinfo"."IP", "hostinfo_hostinfo"."hostname", "hostinfo_hostinfo"."type", "hostinfo_hostinfo"."own_to", "hostinfo_hostinfo"."mem", "hostinfo_hostinfo"."remarks", "hostinfo_hostinfo"."create_time", "hostinfo_hostinfo"."destory_tiime" FROM "hostinfo_hostinfo" INNER JOIN "hostinfo_hostinfo_labels" ON ("hostinfo_hostinfo"."IP" = "hostinfo_hostinfo_labels"."hostinfo_id") WHERE "hostinfo_hostinfo_labels"."services_id" = 6; args=(6,)
DEBUG 2018-04-16 09:41:54,437 C:\Python27\lib\site-packages\django\db\backends\utils.py utils.py utils execute 90: (0.000) SELECT COUNT(*) AS "__count" FROM "VersionIterration_operateman" WHERE "VersionIterration_operateman"."type" = '4'; args=(u'4',)
DEBUG 2018-04-16 09:41:54,437 C:\Python27\lib\site-packages\django\db\backends\utils.py utils.py utils execute 90: (0.001) SELECT "VersionIterration_operateman"."id", "VersionIterration_operateman"."name", "VersionIterration_operateman"."email", "VersionIterration_operateman"."type" FROM "VersionIterration_operateman" WHERE "VersionIterration_operateman"."type" = '4'; args=(u'4',)
INFO 2018-04-16 09:41:54,438 C:\Python27\lib\site-packages\django\core\servers\basehttp.py basehttp.py basehttp log_message 124: "GET /version/unfinished/1/fabu HTTP/1.1" 200 10147
DEBUG 2018-04-16 09:41:58,713 C:\Python27\lib\site-packages\django\db\backends\utils.py utils.py utils execute 90: (0.001) SELECT "VersionIterration_newversion"."id", "VersionIterration_newversion"."login_username", "VersionIterration_newversion"."start_username", "VersionIterration_newversion"."project_name", "VersionIterration_newversion"."project_version", "VersionIterration_newversion"."update_content", "VersionIterration_newversion"."operate_time", "VersionIterration_newversion"."inform_nextman", "VersionIterration_newversion"."status" FROM "VersionIterration_newversion" WHERE "VersionIterration_newversion"."id" = 1 LIMIT 1; args=(1,)
DEBUG 2018-04-16 09:41:58,716 C:\Python27\lib\site-packages\django\db\backends\utils.py utils.py utils execute 90: (0.000) SELECT (1) AS "a" FROM "VersionIterration_development" WHERE "VersionIterration_development"."newversionid" = '1' LIMIT 1; args=(u'1',)
DEBUG 2018-04-16 09:41:58,719 C:\Python27\lib\site-packages\django\db\backends\utils.py utils.py utils execute 90: (0.001) SELECT (1) AS "a" FROM "VersionIterration_test" WHERE "VersionIterration_test"."newversionid" = '1' LIMIT 1; args=(u'1',)
DEBUG 2018-04-16 09:41:58,720 C:\Python27\lib\site-packages\django\db\backends\utils.py utils.py utils execute 90: (0.000) SELECT (1) AS "a" FROM "VersionIterration_updateversion" WHERE "VersionIterration_updateversion"."newversionid" = '1' LIMIT 1; args=(u'1',)
DEBUG 2018-04-16 09:41:58,721 C:\Python27\lib\site-packages\django\db\backends\utils.py utils.py utils execute 90: (0.001) SELECT "VersionIterration_test"."id", "VersionIterration_test"."operate_username", "VersionIterration_test"."operate_time", "VersionIterration_test"."inform_nextman", "VersionIterration_test"."newversionid" FROM "VersionIterration_test" WHERE "VersionIterration_test"."newversionid" = '1' LIMIT 1; args=(u'1',)
